coverage,risk
0.00327,0.0000
0.01961,0.0000
0.03595,0.0000
0.05229,6.2500
0.06863,4.7619
0.08497,3.8462
0.10131,3.2258
0.11765,2.7778
0.13399,2.4390
0.15033,2.1739
0.16667,1.9608
0.18301,1.7857
0.19935,1.6393
0.21569,1.5152
0.23203,1.4085
0.24837,1.3158
0.26471,1.2346
0.28105,1.1628
0.29739,1.0989
0.31373,1.0417
0.33007,0.9901
0.34641,1.8868
0.36275,4.5045
0.37908,6.0345
0.39542,5.7851
0.41176,5.5556
0.42810,5.3435
0.44444,5.8824
0.46078,6.3830
0.47712,6.1644
0.49346,7.2848
0.50980,7.0513
0.52614,7.4534
0.54248,7.2289
0.55882,7.0175
0.57516,6.8182
0.59150,6.6298
0.60784,6.4516
0.62418,6.2827
0.64052,6.1224
0.65686,5.9701
0.67320,6.3107
0.68954,6.1611
0.70588,6.0185
0.72222,5.8824
0.73856,5.7522
0.75490,6.4935
0.77124,6.7797
0.78758,7.0539
0.80392,6.9106
0.82026,7.1713
0.83660,7.4219
0.85294,8.0460
0.86928,8.6466
0.88562,9.2251
0.90196,9.0580
0.91830,9.6085
0.93464,10.4895
0.95098,10.6529
0.96732,11.1486
0.98366,11.6279
1.00000,12.0915
1.00000,12.0915
